tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,22,200044,,,Denisa Chladkova,R,174,CZE,20.9,200043,,WC,Virginie Razzano,R,173,FRA,16.6,7-6(10) 6-2,3,R128,,,,,,,,,,,,,,,,,,,,57,542,344,46
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,23,200046,,,Meghann Shaughnessy,R,180,USA,20.7,200045,,,Tara Snyder,R,175,USA,22.6,6-0 1-6 10-8,3,R128,,,,,,,,,,,,,,,,,,,,91,329,74,404
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,24,200048,16,,Elena Likhovtseva,R,174,RUS,24.3,200047,,,Pavlina Nola,R,,NZL,25.5,6-2 6-2,3,R128,,,,,,,,,,,,,,,,,,,,18,1397,117,244
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,25,200049,10,,Conchita Martinez,R,170,ESP,27.7,200050,,,Sandra Kleinova,R,177,CZE,21.6,6-1 6-1,3,R128,,,,,,,,,,,,,,,,,,,,13,1713,65,501
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,26,200052,,,Olga Barabanschikova,R,172,BLR,20.2,200051,,,Irina Spirlea,R,175,ROU,25.8,6-4 3-6 6-3,3,R128,,,,,,,,,,,,,,,,,,,,75,401,40,721
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,27,200054,,,Sylvia Plischke,R,177,AUT,22.4,200053,,,Lubomira Bacheva,R,,BUL,24.8,6-4 6-4,3,R128,,,,,,,,,,,,,,,,,,,,33,821,73,425
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,28,200056,,,Jelena Kostanic Tosic,L,168,CRO,18.5,200055,,,Mariana Diaz Oliva,R,172,ARG,23.8,6-3 6-7(3) 6-4,3,R128,,,,,,,,,,,,,,,,,,,,98,304,106,284
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,29,200057,,,Erika De Lone,R,,USA,27.2,200058,,,Anna Foldenyi Dicker,R,165,HUN,25.4,6-1 6-4,3,R128,,,,,,,,,,,,,,,,,,,,68,470,115,247
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,30,200059,,,Ruxandra Dragomir Ilie,R,168,ROU,27.2,200060,,Q,Tathiana Garbin,R,172,ITA,22.5,7-5 6-4,3,R128,,,,,,,,,,,,,,,,,,,,20,1247,114,252
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,31,200062,,,Kristina Brandi,R,168,PUR,22.8,200061,,,Gala Leon Garcia,L,163,ESP,26.0,6-3 6-3,3,R128,,,,,,,,,,,,,,,,,,,,54,569,50,622
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,32,200064,8,,Amanda Coetzer,R,158,RSA,28.2,200063,,,Tatiana Panova,R,154,RUS,23.4,6-3 6-3,3,R128,,,,,,,,,,,,,,,,,,,,10,1851,41,712
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,33,200065,7,,Amelie Mauresmo,R,175,FRA,20.5,200066,,,Cristina Torrens Valero,R,171,ESP,25.3,6-1 6-2,3,R128,,,,,,,,,,,,,,,,,,,,6,2335,52,613
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,34,200067,,,Patty Schnyder,L,168,SUI,21.0,200068,,,Lilia Osterloh,R,170,USA,21.7,6-3 6-4,3,R128,,,,,,,,,,,,,,,,,,,,29,924,82,373
